BN,SCHOOL NAME,PROGRESS REPORT TYPE,2012-2013 PROGRESS REPORT GRADE,2011-2012 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K682,THE ACADEMY OF TALENTED SCHOLARS,EC,None,D,None,None,None,None,None
K686,BROOKLYN SCHOOL OF INQUIRY,EC,None,A,None,None,None,None,None
K705,Brooklyn Arts and Science Elementary School,EC,None,None,None,None,None,None,None
K711,Leadership Preparatory Brownsville Charter Schoo,EC,None,B,None,None,None,None,None
K712,Excellence Girls Charter School,EC,None,A,None,None,None,None,None
K734,The Ethical Community Charter School (TECCS),EC,None,C,None,None,None,None,None
K737,Brownsville Ascend Charter School,EC,None,B,None,None,None,None,None
K742,Explore Empower Charter School,EC,None,None,B,None,None,None,None
K746,Hebrew Language Academy Charter School,EC,None,C,None,None,None,None,None
K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,EC,A,None,None,None,None,None,None
K769,Hyde Leadership Charter School- Brooklyn,EC,C,None,None,None,None,None,None
K770,P.S. 770 New American Academy,EC,None,None,None,None,None,None,None
K774,Achievement First Apollo Charter School,EC,B,None,None,None,None,None,None
K775,Leadership Preparatory Ocean Hill Charter School,EC,A,None,None,None,None,None,None
K782,Bedford Stuyvesant New Beginnings Charter School,EC,None,None,None,None,None,None,None
K785,Imagine Me Leadership Charter School,EC,D,None,None,None,None,None,None
K791,Brooklyn Dreams Charter School,EC,None,None,None,None,None,None,None
K792,The Cultural Arts Academy at Spring Creek Charter School,EC,C,None,None,None,None,None,None
K793,Bushwick Ascend Charter School,EC,B,None,None,None,None,None,None
K796,Lefferts Gardens Charter School,EC,D,None,None,None,None,None,None
K797,New Hope Academy Charter School,EC,None,C,None,None,None,None,None
M036,P.S. 036 Margaret Douglas,EC,None,None,None,B,None,None,None
M112,P.S. 112 Jose Celso Barbosa,EC,B,B,A,B,None,None,None
M151,Yorkville Community School,EC,C,None,None,None,None,None,None
M178,Professor Juan Bosch Public School,EC,B,C,B,B,None,None,None
M185,P.S. 185 John M. Langston,EC,B,B,C,C,None,None,None
M382,DREAM Charter School,EC,None,None,C,None,None,None,None
M384,Harlem Success Academy 2 Charter School,EC,None,None,A,None,None,None,None
M385,Harlem Success Academy 3 Charter School,EC,None,None,A,None,None,None,None
M386,Harlem Success Academy 4 Charter School,EC,None,None,A,None,None,None,None
M397,SPRUCE STREET SCHOOL,EC,C,None,None,None,None,None,None
M482,Success Academy Charter School - Harlem 5,EC,A,None,None,None,None,None,None
M483,New York French American Charter School,EC,None,C,None,None,None,None,None
Q007,P.S. 007 Louis F. Simeone,EC,B,B,B,B,None,None,None
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,EC,B,B,B,A,None,None,None
Q130,P.S. 130,EC,B,A,A,A,None,None,None
Q182,P.S. 182 Samantha Smith,EC,None,C,C,D,None,None,None
Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,EC,B,A,B,A,None,None,None
Q228,P.S. 228 Early Childhood Magnet School of the Arts,EC,A,A,A,A,None,None,None
Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,EC,A,B,A,A,None,None,None
Q244,The Active Learning Elementary School,EC,A,A,None,None,None,None,None
Q251,P.S. 251 Queens,EC,B,B,B,C,None,None,None
Q303,The Academy for Excellence through the Arts,EC,A,A,None,None,None,None,None
Q304,VOICE Charter School of New York,EC,None,None,B,None,None,None,None
Q305,Learners and Leaders,EC,B,B,C,None,None,None,None
Q306,New York City Academy for Discovery,EC,None,None,A,None,None,None,None
Q307,Pioneer Academy,EC,None,None,B,None,None,None,None
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,EC,None,None,None,None,None,None,None
Q321,Growing Up Green Charter School,EC,None,C,None,None,None,None,None
Q340,Challenge Preparatory Charter School,EC,B,None,None,None,None,None,None
Q341,Riverton Street Charter School,EC,None,None,None,None,None,None,None
Q342,Rochdale Early Advantage Charter School,EC,B,None,None,None,None,None,None
Q354,PS 354,EC,None,None,None,None,None,None,None
R065,P.S. 65 The Academy of Innovative Learning,EC,None,None,B,None,None,None,None
R071,Staten Island Community Charter School,EC,C,None,None,None,None,None,None
R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,EC,None,None,None,None,None,None,None
X023,P.S. 023 The New Children's School,EC,None,C,B,C,None,None,None
X088,P.S. X088 - S. Silverstein Little Sparrow School,EC,A,B,B,B,None,None,None
X169,BAYCHESTER ACADEMY,EC,None,C,None,None,None,None,None
X170,P.S. 170,EC,C,B,B,B,None,None,None
X207,P.S. 207,EC,B,B,C,C,None,None,None
X209,P.S. 209,EC,B,A,B,A,None,None,None
X236,P.S. 236 Langston Hughes,EC,C,C,C,B,None,None,None
X333,P.S. 333 - The Museum School,EC,None,None,None,C,None,None,None
X382,"Elementary School for Math, Science, and Technolog",EC,None,None,None,C,None,None,None
X386,School for Environmental Citizenship,EC,None,None,None,F,None,None,None
X389,Bronx Global Learning Institute for Girls Charter,EC,None,None,C,None,None,None,None
X394,Mott Haven Academy Charter School,EC,None,None,D,None,None,None,None
X398,Bronx Community Charter School,EC,None,None,C,None,None,None,None
X419,Bronx Academy of Promise Charter School,EC,None,None,None,B,None,None,None
X422,CARL C. ICAHN SOUTH BRONX CHARTER SCHOOL,EC,None,None,None,A,None,None,None
X443,THE FAMILY SCHOOL,EC,None,None,D,None,None,None,None
X449,GRANT AVENUE ELEMENTARY SCHOOL,EC,None,B,None,None,None,None,None
X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,EC,None,None,C,None,None,None,None
X461,Metropolitan Lighthouse Charter School,EC,None,C,None,None,None,None,None
X463,URBAN SCHOLARS COMMUNITY SCHOOL,EC,None,None,F,None,None,None,None
X487,Girls Preparatory Charter School of the Bronx,EC,None,C,None,None,None,None,None
X491,Academic Leadership Charter School,EC,None,A,None,None,None,None,None
X493,Success Academy Charter School - Bronx 1,EC,A,None,None,None,None,None,None
X494,Success Academy Charter School - Bronx 2,EC,A,None,None,None,None,None,None
X496,Icahn Charter School 4,EC,None,None,A,None,None,None,None
X531,Archer Elementary School,EC,None,None,None,None,None,None,None
X536,PS 536,EC,None,None,None,None,None,None,None
X538,Icahn Charter School 5,EC,A,None,None,None,None,None,None
K001,P.S. 001 The Bergen,EMS,B,C,B,C,A,B,B
K002,M.S. 002,EMS,C,B,B,B,A,A,B
K003,P.S. 003 The Bedford Village,EMS,C,C,C,C,A,A,C
K005,P.S. 005 Dr. Ronald Mcnair,EMS,D,B,C,B,A,A,F
K006,P.S. 006,EMS,B,A,B,B,A,A,B
K007,P.S. 007 Abraham Lincoln,EMS,C,B,A,B,A,B,D
K008,P.S. 008 Robert Fulton,EMS,C,B,C,C,A,F,C
K009,P.S. 009 Teunis G. Bergen,EMS,B,B,C,C,A,C,B
K010,"Magnet School of Math, Science and Design Technology",EMS,A,A,B,A,A,A,C
K011,P.S. 011 Purvis J. Behan,EMS,A,A,B,B,A,B,C
K012,P.S. 012,EMS,F,B,C,B,A,D,D
K013,P.S. 013 Roberto Clemente,EMS,B,C,C,C,B,B,B
K014,J.H.S. 014 Shell Bank,EMS,B,B,A,C,A,B,C
K015,P.S. 015 Patrick F. Daly,EMS,None,A,B,A,A,A,A
K016,P.S. 016 Leonard Dunkly,EMS,C,B,C,C,A,B,D
K017,P.S. 017 Henry D. Woodworth,EMS,B,A,C,A,A,B,B
K018,P.S. 018 Edward Bush,EMS,C,B,C,B,B,A,A
K019,P.S. 019 Roberto Clemente,EMS,None,None,F,D,B,C,C
K020,P.S. 020 Clinton Hill,EMS,B,C,B,C,A,C,B
K021,P.S. 021 Crispus Attucks,EMS,B,B,A,A,B,A,B
K022,P.S. 022,EMS,None,None,F,C,A,B,D
K023,P.S. 023 Carter G. Woodson,EMS,B,C,B,A,A,A,F
K024,P.S. 024,EMS,C,C,B,C,A,A,A
K025,P.S. 025 Eubie Blake School,EMS,D,B,C,C,A,B,B
K026,P.S. 026 Jesse Owens,EMS,A,B,A,C,A,B,A
K027,Agnes Y. Humphrey School for Leadership,EMS,None,None,None,None,None,D,C
K028,P.S. 028 The Warren Prep Academy,EMS,D,B,D,B,D,B,F
K029,P.S. 029 John M. Harrigan,EMS,A,C,C,A,A,C,B
K030,I.S. 30 Mary White Ovington,EMS,B,B,B,A,A,A,B
K031,P.S. 031 Samuel F. Dupont,EMS,A,A,A,A,A,A,A
K032,P.S. 032 Samuels Mills Sprole,EMS,C,A,C,A,A,A,B
K034,P.S. 034 Oliver H. Perry,EMS,B,B,A,B,A,A,A
K035,M.S. 035 Stephen Decatur,EMS,C,A,A,A,A,A,B
K038,P.S. 038 The Pacific,EMS,C,B,C,C,A,D,A
K039,P.S. 039 Henry Bristow,EMS,A,B,B,B,A,B,C
K040,P.S. 040 George W. Carver,EMS,A,A,A,A,A,B,C
K041,P.S. 041 Francis White,EMS,C,B,A,C,A,C,C
K044,P.S. 044 Marcus Garvey,EMS,C,B,B,B,A,B,B
K045,P.S. 045 Horace E. Greene,EMS,D,B,B,A,A,A,A
K046,P.S. 046 Edward C. Blum,EMS,A,B,A,A,A,A,B
K048,P.S. 048 Mapleton,EMS,C,B,A,B,A,A,B
K049,J.H.S. 049 William J. Gaynor,EMS,None,None,None,None,None,None,None
K050,J.H.S. 050 John D. Wells,EMS,B,B,C,B,A,C,A
K051,M.S. 51 William Alexander,EMS,A,B,A,A,A,A,B
K052,P.S. 052 Sheepshead Bay,EMS,B,C,C,B,A,B,B
K054,P.S. 054 Samuel C. Barnes,EMS,B,B,C,C,A,C,C
K055,I.S. 055 Ocean Hill Brownsville,EMS,None,None,None,None,None,None,None
K056,P.S. 056 Lewis H. Latimer,EMS,A,B,A,B,C,B,D
K057,J.H.S. 057 Whitelaw Reid,EMS,B,C,C,C,A,B,C
K058,P.S. 058 The Carroll,EMS,B,B,B,A,A,A,D
K059,P.S. 059 William Floyd,EMS,C,C,C,C,A,B,D
K061,M.S. 061 Dr. Gladstone H. Atwell,EMS,D,C,C,C,A,B,B
K062,J.H.S. 062 Ditmas,EMS,A,B,B,A,A,A,B
K065,P.S. 065,EMS,B,C,B,A,A,B,B
K066,P.S. 66,EMS,B,D,B,A,A,D,A
K067,P.S. 067 Charles A. Dorsey,EMS,F,D,D,C,A,D,B
K068,I.S. 068 Isaac Bildersee,EMS,C,C,B,C,A,B,C
K069,P.S. 69 Vincent D. Grippo School,EMS,A,A,A,A,A,A,B
K071,Juan Morel Campos Secondary School,EMS,C,B,C,B,A,B,C
K072,P.S./I.S. 072 Annette P Goldman,EMS,None,None,None,None,None,D,C
K073,P.S. 073 Thomas S. Boyland,EMS,None,F,C,C,B,D,C
K075,P.S. 075 Mayda Cortiella,EMS,B,C,B,C,A,B,A
K078,J.H.S. 078 Roy H. Mann,EMS,C,C,C,C,A,C,C
K081,P.S. 081 Thaddeus Stevens,EMS,A,A,B,B,A,A,A
K084,P.S. 084 Jose De Diego,EMS,C,B,B,C,A,A,D
K086,P.S. 086 The Irvington,EMS,A,B,B,C,A,A,B
K088,J.H.S. 088 Peter Rouget,EMS,A,B,A,B,A,B,A
K089,P.S. 089 Cypress Hills,EMS,B,A,B,B,A,A,B
K090,P.S. 90 Edna Cohen School,EMS,None,B,A,B,A,A,C
K091,P.S. 091 The Albany Avenue School,EMS,C,C,D,C,A,A,B
K092,P.S. 092 Adrian Hegeman,EMS,C,D,C,C,A,B,C
K093,P.S. 093 William H. Prescott,EMS,D,A,B,C,A,C,A
K094,P.S. 094 The Henry Longfellow,EMS,C,D,B,B,A,A,A
K095,P.S. 095 The Gravesend,EMS,A,B,C,C,B,C,B
K096,I.S. 096 Seth Low,EMS,A,C,B,B,A,B,C
K097,P.S. 97 The Highlawn,EMS,A,B,A,A,A,A,B
K098,I.S. 98 Bay Academy,EMS,A,A,A,A,B,B,A
K099,P.S. 099 Isaac Asimov,EMS,D,A,A,A,A,C,B
K100,P.S. 100 The Coney Island School,EMS,C,C,C,B,A,B,B
K101,P.S. 101 The Verrazano,EMS,A,A,B,B,A,A,C
K102,P.S. 102 The Bayview,EMS,C,B,B,B,A,A,B
K103,Satellite Three,EMS,None,None,D,C,B,B,B
K104,P.S./I.S. 104 The Fort Hamilton School,EMS,B,B,B,A,B,B,C
K105,P.S. 105 The Blythebourne,EMS,A,B,A,A,A,A,B
K106,P.S. 106 Edward Everett Hale,EMS,C,A,C,B,A,A,A
K107,P.S. 107 John W. Kimball,EMS,B,A,B,A,A,A,A
K108,P.S. 108 Sal Abbracciamento,EMS,A,A,B,B,A,B,C
K109,P.S. 109,EMS,B,B,C,B,A,C,B
K110,P.S. 110 The Monitor,EMS,C,B,C,C,A,A,B
K112,P.S. 112 Lefferts Park,EMS,A,A,A,B,A,A,B
K113,M.S. 113 Ronald Edmonds Learning Center,EMS,F,D,D,C,A,B,B
K114,P.S. 114 Ryder Elementary,EMS,C,D,C,D,B,B,D
K115,P.S. 115 Daniel Mucatel School,EMS,C,B,B,B,A,A,A
K116,P.S. 116 Elizabeth L Farrell,EMS,B,A,A,A,A,A,A
K117,J.H.S. 117 Francis Scott Key,EMS,None,None,None,None,None,None,None
K119,P.S. 119 Amersfort,EMS,B,B,B,B,A,B,B
K120,P.S. 120 Carlos Tapia,EMS,B,A,A,C,A,A,B
K121,P.S. 121 Nelson A. Rockefeller,EMS,C,A,A,A,A,A,B
K123,P.S. 123 Suydam,EMS,C,B,B,C,A,B,D
K124,P.S. 124 Silas B. Dutcher,EMS,B,A,B,A,A,A,A
K126,John Ericsson Middle School 126,EMS,A,C,D,B,B,D,D
K127,P.S. 127 Mckinley Park,EMS,C,B,B,D,B,B,A
K128,P.S. 128 Bensonhurst,EMS,C,B,B,B,B,B,B
K130,P.S. 130 The Parkside,EMS,B,A,A,B,A,A,B
K131,P.S. 131 Brooklyn,EMS,A,A,A,A,A,A,B
K132,P.S. 132 The Conselyea School,EMS,C,A,C,B,A,A,A
K133,P.S. 133 William A. Butler,EMS,C,B,B,C,A,B,B
K134,P.S. K134,EMS,A,A,A,A,A,A,B
K135,P.S. 135 Sheldon A. Brookner,EMS,C,C,B,B,A,A,C
K136,I.S. 136 Charles O. Dewey,EMS,B,B,B,C,A,B,B
K137,P.S./I.S. 137 Rachel Jean Mitchell,EMS,A,A,C,D,B,B,F
K138,P.S. 138 Brooklyn,EMS,A,A,B,A,A,A,C
K139,P.S. 139 Alexine A. Fenty,EMS,C,D,B,C,A,B,B
K143,M.S. 143 Performing & Fine Arts,EMS,None,None,None,None,None,None,None
K145,P.S. 145 Andrew Jackson,EMS,F,B,C,B,A,B,C
K146,P.S. 146,EMS,A,A,A,B,A,A,C
K147,P.S. 147 Isaac Remsen,EMS,C,A,B,A,B,A,A
K149,P.S. 149 Danny Kaye,EMS,D,A,C,C,A,B,A
K150,P.S. 150 Christopher,EMS,C,C,C,C,A,F,D
K151,P.S. 151 Lyndon B. Johnson,EMS,C,C,D,C,A,B,B
K152,School of Science & Technology,EMS,B,B,B,C,A,A,B
K153,P.S. 153 Homecrest,EMS,B,C,C,B,A,B,C
K154,Magnet School for Science & Technology,EMS,C,C,A,C,A,B,D
K155,P.S./ I.S. 155 Nicholas Herkimer,EMS,C,B,A,B,A,B,B
K156,P.S. 156 Waverly,EMS,B,C,C,C,A,C,C
K157,P.S. 157 Benjamin Franklin,EMS,B,B,B,B,A,A,A
K158,P.S. 158 Warwick,EMS,C,C,B,C,A,B,C
K159,P.S. 159 Isaac Pitkin,EMS,C,C,B,C,A,C,B
K160,P.S. 160 William T. Sampson,EMS,A,A,C,B,A,B,C
K161,P.S. 161 The Crown,EMS,B,F,D,C,A,C,B
K162,J.H.S. 162 The Willoughby,EMS,B,B,C,C,A,B,C
K163,P.S. 163 Bath Beach,EMS,A,A,A,A,A,A,C
K164,P.S. 164 Caesar Rodney,EMS,A,B,A,A,A,A,A
K165,P.S. 165 Ida Posner,EMS,C,C,C,C,B,B,D
K166,J.H.S. 166 George Gershwin,EMS,None,C,C,C,B,B,D
K167,P.S. 167 The Parkway,EMS,None,D,C,C,A,B,D
K169,P.S. 169 Sunset Park,EMS,C,B,C,B,A,B,B
K170,Ralph A. Fabrizio School,EMS,A,A,B,B,A,B,C
K171,I.S. 171 Abraham Lincoln,EMS,B,D,F,C,B,C,B
K172,P.S. 172 Beacon School of Excellence,EMS,A,A,A,A,A,A,A
K174,P.S. 174 Dumont,EMS,None,D,C,C,B,B,C
K176,P.S. 176 Ovington,EMS,A,A,A,A,A,A,B
K177,P.S. 177 The Marlboro,EMS,B,B,B,A,A,B,C
K178,P.S. 178 Saint Clair Mckelway,EMS,C,C,C,B,A,D,D
K179,P.S. 179 Kensington,EMS,D,C,C,C,A,C,C
K180,The SEEALL Academy,EMS,A,B,B,B,A,A,C
K181,P.S. 181 Brooklyn,EMS,C,C,B,C,A,B,B
K183,Ps 183 Daniel Chappie James,EMS,None,None,None,None,None,None,F
K184,P.S. 184 Newport,EMS,C,C,B,C,B,B,B
K185,P.S. 185 Walter Kassenbrock,EMS,C,A,C,C,A,B,C
K186,P.S. 186 Dr. Irving A Gladstone,EMS,B,A,B,B,A,A,B
K187,I.S. 187,EMS,A,A,A,A,A,A,A
K188,P.S. 188 Michael E. Berdy,EMS,None,C,A,C,A,A,C
K189,P.S. 189 Lincoln Terrace,EMS,C,B,A,B,A,A,A
K190,P.S. 190 Sheffield,EMS,A,F,B,A,A,D,D
K191,P.S. 191 Paul Robeson,EMS,D,B,B,C,B,B,C
K192,P.S. 192 - The Magnet School for Math and Science,EMS,A,A,A,A,A,A,B
K193,P.S. 193 Gil Hodges,EMS,A,C,C,B,A,A,A
K194,P.S. 194 Raoul Wallenberg,EMS,B,B,C,C,A,A,C
K195,P.S. 195 Manhattan Beach,EMS,B,A,B,A,A,A,B
K196,P.S. 196 Ten Eyck,EMS,A,A,C,A,A,A,C
K197,P.S. 197 Brooklyn,EMS,A,B,B,A,A,A,C
K198,P.S. 198 Brooklyn,EMS,B,C,B,C,A,B,B
K199,P.S. 199 Frederick Wachtel,EMS,A,B,B,B,B,A,C
K200,P.S. 200 Benson School,EMS,B,C,A,B,A,B,B
K201,J.H.S. 201 The Dyker Heights,EMS,A,A,A,A,A,A,B
K202,P.S. 202 Ernest S. Jenkyns,EMS,D,D,D,C,A,C,A
K203,P.S. 203 Floyd Bennett,EMS,B,B,B,C,A,A,A
K204,P.S. 204 Vince Lombardi,EMS,B,B,B,A,A,B,B
K205,P.S. 205 Clarion,EMS,C,A,A,B,A,A,C
K206,P.S. 206 Joseph F Lamb,EMS,B,B,C,A,A,A,B
K207,P.S. 207 Elizabeth G. Leary,EMS,C,B,B,C,A,B,B
K208,P.S. 208 Elsa Ebeling,EMS,C,C,B,B,A,A,A
K209,P.S. 209 Margaret Mead,EMS,A,B,B,C,A,B,C
K211,I.S. 211 John Wilson,EMS,None,A,A,B,A,A,A
K212,P.S. 212 Lady Deborah Moody,EMS,C,B,B,B,A,B,B
K213,P.S. 213 New Lots,EMS,D,B,D,C,A,B,B
K214,P.S. 214 Michael Friedsam,EMS,B,B,B,B,A,C,C
K215,P.S. 215 Morris H. Weiss,EMS,B,B,A,C,A,A,C
K216,P.S. 216 Arturo Toscanini,EMS,A,C,C,B,A,B,C
K217,P.S. 217 Colonel David Marcus School,EMS,C,B,B,B,A,A,B
K218,J.H.S. 218 James P. Sinnott,EMS,A,C,B,B,A,B,A
K219,P.S. 219 Kennedy-King,EMS,B,C,B,C,A,B,A
K220,J.H.S. 220 John J. Pershing,EMS,A,B,C,B,B,B,C
K221,P.S. 221 Toussaint L'Ouverture,EMS,B,D,A,C,A,C,B
K222,P.S. 222 Katherine R. Snyder,EMS,B,A,B,A,A,A,B
K223,J.H.S. 223 The Montauk,EMS,A,A,A,B,A,A,A
K224,P.S. 224 Hale A. Woodruff,EMS,C,F,C,B,A,D,C
K225,P.S. K225 - The Eileen E. Zaglin,EMS,B,B,B,A,A,C,D
K226,P.S. 226 Alfred De B.Mason,EMS,B,A,B,A,A,A,B
K227,J.H.S. 227 Edward B. Shallow,EMS,A,B,A,B,A,B,C
K228,I.S. 228 David A. Boody,EMS,B,A,C,C,A,B,D
K229,P.S. 229 Dyker,EMS,A,B,B,B,A,A,B
K230,P.S. 230 Doris L. Cohen,EMS,B,A,C,C,A,B,B
K232,I.S. 232 The Winthrop,EMS,None,None,None,None,None,None,None
K233,P.S. 233 Langston Hughes,EMS,C,C,C,C,A,C,B
K234,J.H.S. 234 Arthur W. Cunningham,EMS,B,B,B,B,A,A,B
K235,P.S. 235 Lenox School,EMS,B,A,A,B,A,B,C
K236,P.S. 236 Mill Basin,EMS,C,B,C,B,B,A,A
K238,P.S. 238 Anne Sullivan,EMS,A,C,B,B,A,B,F
K239,Mark Twain I.S. 239 for the Gifted & Talented,EMS,B,B,A,A,A,A,B
K240,Andries Hudde,EMS,C,B,C,B,A,B,B
K241,P.S. 241 Emma L. Johnston,EMS,B,B,A,C,A,A,B
K243,P.S. 243K- The Weeksville School,EMS,B,B,C,C,A,A,B
K244,P.S. 244 Richard R. Green,EMS,B,B,A,B,A,A,B
K245,P.S. 245,EMS,B,A,B,A,A,B,D
K246,M.S. 246 Walt Whitman,EMS,B,B,B,B,A,B,C
K247,P.S. 247 Brooklyn,EMS,A,A,A,A,A,A,B
K249,P.S. 249 The Caton,EMS,A,None,None,None,None,None,None
K250,P.S. 250 George H. Lindsay,EMS,C,C,B,B,A,B,B
K251,P.S. 251 Paerdegat,EMS,B,B,B,C,A,A,C
K252,I.S. 252 Arthur S. Somers,EMS,None,None,None,None,None,None,None
K253,P.S. 253,EMS,A,A,A,A,A,A,A
K254,P.S. 254 Dag Hammarskjold,EMS,B,B,A,A,A,A,B
K255,P.S. 255 Barbara Reing School,EMS,A,A,A,A,A,A,A
K256,P.S. 256 Benjamin Banneker,EMS,A,B,F,C,A,C,C
K257,P.S. 257 John F. Hylan,EMS,A,A,A,A,A,A,A
K258,J.H.S. 258 David Ruggles,EMS,None,None,None,None,None,None,None
K259,J.H.S. 259 William Mckinley,EMS,A,A,A,A,A,A,C
K260,P.S. 260 Breuckelen,EMS,None,None,None,D,B,F,C
K261,P.S. 261 Philip Livingston,EMS,C,C,C,B,A,C,C
K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,EMS,C,B,A,A,A,A,A
K265,Dr. Susan S. McKinney Secondary School of the Arts,EMS,C,B,B,C,A,A,A
K266,M.S. K266 - Park Place Community Middle School,EMS,C,D,C,C,A,B,B
K267,"M.S. 267 Math, Science & Technology",EMS,C,A,A,B,A,A,F
K268,P.S. 268 Emma Lazarus,EMS,C,C,B,C,A,B,C
K269,P.S. 269 Nostrand,EMS,B,C,C,C,A,A,B
K270,P.S. 270 Johann DeKalb,EMS,D,D,C,A,A,A,F
K271,I.S. 271 John M. Coleman,EMS,None,None,None,None,None,None,None
K272,P.S. 272 Curtis Estabrook,EMS,B,B,F,C,A,A,F
K273,P.S. 273 Wortman,EMS,C,D,C,C,A,A,D
K274,P.S. 274 Kosciusko,EMS,C,B,C,A,A,A,C
K276,P.S. 276 Louis Marshall,EMS,D,B,B,C,A,A,C
K277,P.S. 277 Gerritsen Beach,EMS,C,B,C,A,B,A,C
K278,J.H.S. 278 Marine Park,EMS,C,B,D,D,B,C,C
K279,P.S. 279 Herman Schreiber,EMS,C,C,C,C,A,B,C
K281,I.S. 281 Joseph B Cavallaro,EMS,B,A,A,B,A,B,B
K282,P.S. 282 Park Slope,EMS,C,B,C,B,B,B,C
K284,P.S. 284 Lew Wallace,EMS,B,D,B,C,A,D,C
K285,I.S. 285 Meyer Levin,EMS,C,C,B,C,B,B,C
K287,P.S. 287 Bailey K. Ashford,EMS,C,C,B,B,A,C,F
K288,P.S. 288 The Shirley Tanyhill,EMS,None,A,B,A,A,A,C
K289,P.S. 289 George V. Brower,EMS,A,B,C,B,B,A,B
K290,P.S. 290 Juan Morel Campos,EMS,B,B,B,B,A,A,B
K291,J.H.S. 291 Roland Hayes,EMS,C,C,C,C,B,B,D
K292,J.H.S. 292 Margaret S. Douglas,EMS,B,C,B,C,A,B,B
K295,P.S. 295,EMS,A,B,A,A,A,A,A
K296,J.H.S. 296 The Halsey School,EMS,None,None,F,C,A,B,F
K297,P.S. 297 Abraham Stockton,EMS,B,B,B,C,B,B,C
K298,P.S. 298 Dr. Betty Shabazz,EMS,C,D,F,C,A,C,C
